P,n_elem,case,scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
8,64,lax,Hybrid + Persson-Peraire,False,0.00480,1.60287e-04,1.60287e-04,0.00434,1.00000
8,64,lax,Hybrid + NN policy,False,0.00480,1.60287e-04,1.60287e-04,0.00615,0.63062
8,64,shu-osher,DGSEM (no stabilization),False,0.23400,2.64878e-02,2.64878e-02,0.00000,0.00000
8,64,shu-osher,Hybrid + Persson-Peraire,True,,1.81088e-02,3.26451e-02,0.01694,1.00000
8,64,shu-osher,Hybrid + NN policy,True,,2.06074e-02,2.11322e-02,0.01377,0.93380
8,64,random_seed42,DGSEM (no stabilization),False,0.01000,4.30642e-03,4.30642e-03,0.00000,0.00000
8,64,random_seed42,Hybrid + Persson-Peraire,False,0.00960,8.74342e-04,8.74342e-04,0.00117,0.88904
8,64,random_seed42,Hybrid + NN policy,False,0.00960,8.88727e-04,8.88727e-04,0.00078,0.61496
8,96,sod,DGSEM (no stabilization),False,0.05800,2.12449e-03,2.12449e-03,0.00000,0.00000
8,96,sod,Hybrid + Persson-Peraire,False,0.04900,3.94650e-04,4.09310e-04,0.00039,0.92836
8,96,sod,Hybrid + NN policy,False,0.05600,5.33619e-04,5.33619e-04,0.00366,0.42708
8,96,lax,DGSEM (no stabilization),False,0.00240,4.77626e-04,4.77626e-04,0.00000,0.00000
8,96,lax,Hybrid + Persson-Peraire,False,0.00240,4.77626e-04,4.77626e-04,0.02902,1.00000
8,96,lax,Hybrid + NN policy,False,0.00240,4.77626e-04,4.77626e-04,0.00391,0.42708
8,96,shu-osher,DGSEM (no stabilization),False,0.17100,2.22094e-02,2.60320e-02,0.00000,0.00000
8,96,shu-osher,Hybrid + Persson-Peraire,True,,1.48099e-02,2.77776e-02,0.01188,1.00000
8,96,shu-osher,Hybrid + NN policy,True,,1.56210e-02,1.75292e-02,0.00975,0.94156
8,96,random_seed42,DGSEM (no stabilization),False,0.00280,2.40793e-04,2.40793e-04,0.00000,0.00000
8,96,random_seed42,Hybrid + Persson-Peraire,False,0.00280,2.40793e-04,2.40793e-04,0.00240,0.99558
8,96,random_seed42,Hybrid + NN policy,False,0.00280,2.40793e-04,2.40793e-04,0.00002,0.01959
