P,n_elem,case,scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
8,64,lax,Hybrid + Persson-Peraire,False,0.00480,2.62252e-04,2.62252e-04,0.00541,1.00000
8,64,lax,Hybrid + NN policy,False,0.00480,2.62252e-04,2.62252e-04,0.00263,0.68366
8,64,shu-osher,DGSEM (no stabilization),False,0.23400,1.77188e-02,1.77188e-02,0.00000,0.00000
8,64,shu-osher,Hybrid + Persson-Peraire,True,,3.90931e-02,5.43409e-02,0.01694,1.00000
8,64,shu-osher,Hybrid + NN policy,True,,2.64106e-02,5.93823e-02,0.00791,0.99877
8,64,random_seed42,DGSEM (no stabilization),False,0.17400,3.33148e-02,3.40897e-02,0.00000,0.00000
8,64,random_seed42,Hybrid + Persson-Peraire,True,,2.30799e-02,2.54876e-02,0.01290,1.00000
8,64,random_seed42,Hybrid + NN policy,True,,3.01590e-02,3.21097e-02,0.00729,0.98215
8,96,sod,DGSEM (no stabilization),False,0.05800,2.00017e-03,2.00017e-03,0.00000,0.00000
8,96,sod,Hybrid + Persson-Peraire,False,0.04900,5.57468e-04,5.57468e-04,0.00039,0.92836
8,96,sod,Hybrid + NN policy,False,0.05200,2.14398e-03,2.14398e-03,0.00054,0.90731
8,96,shu-osher,DGSEM (no stabilization),False,0.17100,1.83942e-02,1.83942e-02,0.00000,0.00000
8,96,shu-osher,Hybrid + Persson-Peraire,True,,2.67792e-02,4.35912e-02,0.01188,1.00000
8,96,shu-osher,Hybrid + NN policy,True,,2.25603e-02,5.44153e-02,0.00617,0.99866
8,96,random_seed42,DGSEM (no stabilization),False,0.00900,7.41557e-04,7.41557e-04,0.00000,0.00000
8,96,random_seed42,Hybrid + Persson-Peraire,False,0.00900,7.41557e-04,7.41557e-04,0.00000,0.00107
8,96,random_seed42,Hybrid + NN policy,False,0.00900,7.41624e-04,7.41624e-04,0.00000,0.00000
